ID,l,b,R_Sun (d),[Fe/H],b (abs),dz,b (rad),X,Y,Z,R_gc
AM 1,258.34,-48.47,123.30,-1.70,48.47,-92.30,-0.85,-16.50,-80.10,-92.30,124.60
Eridanus,218.10,-41.33,90.10,-1.43,41.33,-59.50,-0.72,-53.20,-41.70,-59.50,95.00
Whiting 1,161.22,-60.76,30.10,-0.70,60.76,-26.26,-1.06,-13.90,4.70,-26.30,34.50
NGC 7492,53.39,-63.48,26.30,-1.78,63.48,-23.53,-1.11,7.00,9.40,-23.50,25.30
Pal 13,87.10,-42.70,26.00,-1.88,42.70,-17.63,-0.75,1.00,19.10,-17.60,26.90
Pal 12,30.51,-47.68,19.00,-0.85,47.68,-14.05,-0.83,11.00,6.50,-14.10,15.80
NGC 7006,63.77,-19.41,41.20,-1.52,19.41,-13.69,-0.34,17.20,34.80,-13.70,38.50
NGC 1261,270.54,-52.12,16.30,-1.27,52.12,-12.87,-0.91,0.10,-10.00,-12.90,18.10
Terzan 8,5.76,-24.56,26.30,-2.16,24.56,-10.93,-0.43,23.80,2.40,-10.90,19.40
Arp 2,8.55,-20.79,28.60,-1.75,20.79,-10.15,-0.36,26.40,4.00,-10.20,21.40
NGC 6981,35.16,-32.68,17.00,-1.42,32.68,-9.18,-0.57,11.70,8.30,-9.20,12.90
NGC 6864,20.30,-25.75,20.90,-1.29,25.75,-9.08,-0.45,17.60,6.50,-9.10,14.70
NGC 288,152.30,-89.38,8.90,-1.32,89.38,-8.90,-1.56,-0.10,0.00,-8.90,12.00
Terzan 7,3.39,-20.07,22.80,-0.32,20.07,-7.82,-0.35,21.40,1.30,-7.80,15.60
NGC 1851,244.51,-35.03,12.10,-1.18,35.03,-6.95,-0.61,-4.20,-8.90,-6.90,16.60
NGC 7089,53.37,-35.77,11.50,-1.65,35.77,-6.72,-0.62,5.60,7.50,-6.70,10.40
IC 4499,307.35,-20.47,18.80,-1.53,20.47,-6.57,-0.36,10.70,-14.00,-6.60,15.70
NGC 6715,5.61,-14.09,26.50,-1.49,14.09,-6.45,-0.25,25.60,2.50,-6.50,18.90
NGC 1904,227.23,-29.35,12.90,-1.60,29.35,-6.32,-0.51,-7.70,-8.30,-6.30,18.80
NGC 362,301.53,-46.25,8.60,-1.26,46.25,-6.21,-0.81,3.10,-5.10,-6.20,9.40
NGC 7099,27.18,-46.84,8.10,-2.27,46.84,-5.91,-0.82,4.90,2.50,-5.90,7.10
NGC 6934,52.10,-18.89,15.60,-1.47,18.89,-5.05,-0.33,9.10,11.70,-5.10,12.80
NGC 7078,65.01,-27.31,10.40,-2.37,27.31,-4.77,-0.48,3.90,8.30,-4.80,10.40
ESO-SC06,346.90,-12.57,21.40,-1.80,12.57,-4.66,-0.22,20.40,-4.70,-4.70,14.00
Pal 2,170.53,-9.07,27.20,-1.42,9.07,-4.29,-0.16,-26.40,4.40,-4.30,35.00
NGC 6101,317.74,-15.82,15.40,-1.98,15.82,-4.20,-0.28,11.00,-10.00,-4.20,11.20
NGC 6584,342.14,-16.41,13.50,-1.50,16.41,-3.81,-0.29,12.30,-4.00,-3.80,7.00
Pal 11,31.81,-15.57,13.40,-0.40,15.57,-3.60,-0.27,11.00,6.80,-3.60,8.20
NGC 104,305.89,-44.89,4.50,-0.72,44.89,-3.18,-0.78,1.90,-2.60,-3.10,7.40
NGC 2298,245.63,-16.00,10.80,-1.92,16.00,-2.98,-0.28,-4.30,-9.40,-3.00,15.80
E 3,292.27,-19.02,8.10,-0.83,19.02,-2.64,-0.33,2.90,-7.10,-2.60,9.10
NGC 6723,0.07,-17.30,8.70,-1.10,17.30,-2.59,-0.30,8.30,0.00,-2.60,2.60
NGC 6362,325.55,-17.57,7.60,-0.99,17.57,-2.29,-0.31,6.00,-4.10,-2.30,5.10
