dataset,source,algorithm,metric,Normalization,Dimensionality_Reduction,final_width,time_prep_mean,time_prep_std,time_fit_mean,time_fit_std,total_time_mean,total_time_std,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std
ALL,ALL,ALL,ALL,ALL,ALL,0.015625,0.6139082205555799,1.05694563568376,0.002923812530864247,0.0021741533124021704,0.6168320330864443,1.0587487420794872,15219.15534967222,183675.7822380959,0.42130762371152275,0.22090828014982133,0.41195387421280116,0.38317917835167814
ALL,ALL,ALL,ALL,ALL,ALL,0.03125,0.6139082205555799,1.05694563568376,0.0026314821234816777,0.001990561284209459,0.6165397026790617,1.0585836749511173,15774.986580134013,191390.11483854539,0.42776939969420313,0.22014009593161613,0.4061258607031813,0.38099000295290675
ALL,ALL,ALL,ALL,ALL,ALL,0.0625,0.6139082205555799,1.05694563568376,0.0023470758395040857,0.0018138840464773144,0.6162552963950841,1.0584331971529655,15893.479484018593,192968.51372116842,0.43870430930955023,0.22410065187700334,0.39178340644461773,0.378987707044363
ALL,ALL,ALL,ALL,ALL,ALL,0.125,0.6139082205555799,1.05694563568376,0.0020501332963033217,0.0016540016210400323,0.6159583538518834,1.0582913052577008,18383.84104176622,221937.06472558403,0.46693783388255367,0.22079298908320086,0.3597116352790744,0.37506050499316296
ALL,ALL,ALL,ALL,ALL,ALL,0.25,0.6139082205555799,1.05694563568376,0.0017511691728258334,0.0015816788125637552,0.6156593897284058,1.0582114590897633,18727.43355692463,228510.65726124455,0.5135055942646071,0.20571229807401298,0.29432739054315193,0.34111968486086325
ALL,ALL,ALL,ALL,ALL,ALL,ALL,0.6144681180055241,1.1406489282350836,0.002132772808480834,0.008074013150778957,0.616600890814005,1.141899893885829,17421.762519802527,209024.7396363668,0.43029625316723946,0.2203000673887865,0.36309020285176485,0.37065744663965383
ALL,ALL,ALL,ALL,ALL,ALL,,0.6148316003606213,1.191884123266501,0.0019977651582979783,0.010252728874732416,0.6168293655189194,1.1929904344404336,17825.550679626613,211921.62306866146,0.4182512332550842,0.2187732759100899,0.3567993582787999,0.3678917264046747
ALL,ALL,ALL,ALL,ALL,Não,0.015625,0.5945011440000235,1.010064598880004,0.0028705665333356636,0.001818277285106035,0.5973717105333592,1.011592429687815,9086.94628917574,141855.1129290072,0.44278101306965995,0.21316776201792786,0.48189759500377466,0.37968426899677615
ALL,ALL,ALL,ALL,ALL,Não,0.03125,0.5945011440000235,1.010064598880004,0.002586107362986544,0.0016596228159496673,0.5970872513630101,1.0114540422506542,9447.834147135556,148122.24387184967,0.4485803841614583,0.21212700633887752,0.47427025090379654,0.37883130159155803
ALL,ALL,ALL,ALL,ALL,Não,0.0625,0.5945011440000235,1.010064598880004,0.0023111540888860345,0.0015253937157019939,0.5968122980889096,1.0113337871081032,9468.23210868326,148204.45328632477,0.4581794024599992,0.21646043115782498,0.4597951632779049,0.3771714937701593
ALL,ALL,ALL,ALL,ALL,Não,0.125,0.5945011440000235,1.010064598880004,0.002019856637055371,0.001392590749893933,0.5965210006370789,1.011217426890387,10330.26896815179,158394.35353997577,0.4785229217264969,0.21469754269102448,0.42313257005803845,0.37777749779118774
ALL,ALL,ALL,ALL,ALL,Não,0.25,0.5945011440000235,1.010064598880004,0.0017227273629622088,0.0012955308532146654,0.5962238713629857,1.011131588986059,10580.419043099382,164390.32176476202,0.5131002863110917,0.20449449044870818,0.3484651932705185,0.34744565593086013
ALL,ALL,ALL,ALL,ALL,Não,ALL,0.5981184843853725,1.1215410990704766,0.0021026953465117276,0.008743388086622634,0.6002211797318844,1.1226169059518916,10361.624963035874,159755.49232883853,0.44394160150615136,0.2143074430669726,0.42447697519028854,0.3735894459875478
ALL,ALL,ALL,ALL,ALL,Não,,0.6004646982415374,1.1883033212704674,0.001973372526188801,0.011150133323333348,0.6024380707677263,1.1892715211049987,10737.090779271139,164350.86511492613,0.43051303882653896,0.21344618672722207,0.4160223330879058,0.3720632963956989
